3_op_prefix_ok-a.wav,"нужен гоночный темп на круге заезда и выезда, это будет контрольный замер"
1-a.wav,"хорошо, засечём время этого пит-стопа"
2-a.wav,"хорошо, используем этот пит-стоп как контрольный"
5_op_suffix_please-a.wav,"это контрольный пит-стоп, нужен гоночный темп на круге заезда и выезда"
5-a.wav,"понял, засечём этот пит-стоп и используем как контрольный"
2_op_prefix_ok-a.wav,"это контрольный пит-стоп, засечём круг заезда и круг выезда, держи гоночный темп"
3-a.wav,"это контрольный пит-стоп, держи гоночный темп до второго сектора"
1_op_suffix_please-a.wav,"это будет контрольный пит-стоп, гоночный темп на круге заезда и выезда"
6-a.wav,"принято, засечём пит-стоп; гоночный темп на круге заезда и на выезде до второго сектора"
4-a.wav,"хорошо, гоночный темп на круге выезда до второго сектора, это контрольный пит-стоп"
