8-a.wav,"старт нормальный, развивай успех"
4-a.wav,"старт нормальный, можно развивать успех"
3_op_suffix_come_on-a.wav,"старт нормальный, включайся в борьбу"
10-a.wav,"старт нормальный, мы всё ещё в хорошей позиции"
6-a.wav,"старт нормальный, мы всё ещё в борьбе"
1_op_prefix_ok-a.wav,"неплохой старт, можно развивать успех"
9-a.wav,"старт нормальный, теперь найди свой ритм"
2-a.wav,"старт нормальный, войди в ритм"
11-a.wav,"старт нормальный, пора включаться в борьбу"
5_op_suffix_come_on-a.wav,"найди хороший ритм и отыгрывай позиции"
12-a.wav,"старт приемлемый, пора за работу"
