3-a.wav,"зелёный флаг"
9-a.wav,"инцидент устранён, зелёный флаг"
2-a.wav,"всё чисто, инцидент устранён"
4-a.wav,"инцидент устранён, зелёный флаг"
6-a.wav,"зелёный флаг, всё чисто"
13-a.wav,"инцидент устранён, зелёный флаг"
5-a.wav,"зелёный флаг, всё чисто"
7-a.wav,"инцидент устранён, зелёный флаг"
8-a.wav,"инцидент устранён, зелёный флаг"
11-a.wav,"авария устранена, зелёный флаг"
10-a.wav,"авария устранена, зелёный флаг"
1-a.wav,"зелёный флаг, участок свободен"
12-a.wav,"авария устранена, зелёный флаг"
