3-a.wav,"отлично, продолжай"
9_op_prefix_well_done-a.wav,"прекрасно, именно ради этого мы здесь"
7_op_prefix_well_done-a.wav,"отлично, продолжай хорошо выходить из поворотов"
2_op_prefix_ok-a.wav,"продолжай так же, всё точно как нужно"
8_op_prefix_well_done-a.wav,"всё отлично, сохраняй концентрацию"
16_male-a.wav,"отлично, не сбавляй"
sweary_18-a.wav,"отличная работа, просто превосходно"
5_op_prefix_ok-a.wav,"точно попадай в ориентиры, всё выглядит хорошо"
12-a.wav,"отлично, всё идеально"
17-a.wav,"превосходно, продолжай"
6-a.wav,"блестяще, продолжай"
19_male-a.wav,"продолжай, всё отлично"
14-a.wav,"всё хорошо, продолжай в том же духе"
1-a.wav,"продолжай, всё выглядит хорошо"
4-a.wav,"блестяще, продолжай"
15-a.wav,"хорошо, продолжай показывать такие круги"
10-a.wav,"отличная работа, продолжай"
sweary_13-a.wav,"чёртовски хорошо, продолжай"
11-a.wav,"отличный пилотаж, продолжай"
